list=id,name|

101001,远东俄罗斯航空飞行员|
101002,抢点前锋|
101003,音乐家|
101004,老兵|
101005,教员|
101006,苏联飞行学员|
101007,伏尔加河的麻烦|
101008,大师|
101009,苏联工厂工人|
101010,来自达吉斯坦的苏联飞行员|
101011,农民|
101012,坦克手|

102001,加拿大人|
102002,捷克斯洛伐克飞行员|
102003,沙漠空军老兵|
102004,东区小伙子|
102005,农民的儿子|
102006,机械师|
102007,马其赛特郡音乐家|
102008,诺福克的孩子|
102009,波兰战俘|
102010,橄榄球运动员|
102011,次子|
102012,苏格兰法夫飞行家|
102013,梦想家|
102014,纨绔子弟|
102015,教员|

103001,学员|
103002,阿拉巴马私酒贩子|
103003,山麓男孩|
103004,“大天空”牛牧场主|
103005,汽车推销员的孙子|
103006,前轰炸机飞行员|
103007,爱达荷州五金店老板的儿子|
103008,爱荷华州农药机飞行员|
103009,纽约屠夫之子|
103010,菲律宾老兵|
103011,弗吉尼亚磨坊工人|
103012,西德克萨斯牛仔|
103013,尘暴幸存者|
103014,明尼苏达州应征飞行员|
103015,北非老兵|
103016,一战飞行员之子|

201001,德国汉莎航空公司飞行员|
201002,德国运动员|
201003,德国花花公子|
201004,运输机飞行员|
201005,梦想追逐者|
201006,德国一战老兵|
201007,登山运动员|
201008,商人之子|
201009,德国滑雪者|
201010,德国工厂工人|
201011,德国机械师|
201012,机枪手和飞行员|
201013,西班牙义工|
201014,意大利梦想家|
